mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,param_model__learning_rate,param_model__loss,param_model__max_depth,param_model__max_features,param_model__min_samples_split,param_model__n_estimators,param_model__subsample,param_model__criterion,param_model__n_jobs,param_model__alpha,param_model__colsample_bytree,param_model__gamma,param_model__grow_policy,param_model__lambda,param_model__scale_pos_weight,param_model__boosting_type,param_model__reg_alpha,param_model__reg_lambda,param_model__max_samples
1.18454008102417,0.02580806900146598,0.01851968765258789,0.0017201100176820478,2.6191693589070715,balanced,,sag,"{'model__C': 2.6191693589070715, 'model__class_weight': 'balanced', 'model__penalty': None, 'model__solver': 'sag'}",0.2884664164259376,0.2927419291703275,0.27133164408685095,0.26954514772846794,0.2796438772969402,0.28034580294170486,0.009143415350324955,35,LogisticRegression,,,,,,,,,,,,,,,,,,,
2.0833396911621094,0.6582502842579839,0.018380355834960938,0.00672172149006968,8.474527266832244,balanced,l2,newton-cg,"{'model__C': 8.474527266832244, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.3946791203461234,0.4487552734525191,0.44795183620959406,0.4708354642114811,0.4112902785123699,0.43470239454641757,0.027671716564967374,1,LogisticRegression,,,,,,,,,,,,,,,,,,,
0.3167710781097412,0.0566891010478356,0.01990671157836914,0.002189481499028059,0.4648258558853169,balanced,,lbfgs,"{'model__C': 0.4648258558853169, 'model__class_weight': 'balanced', 'model__penalty': None, 'model__solver': 'lbfgs'}",0.3606730927506432,0.40500963273184376,0.38502374587394783,0.40756923075324863,0.3815744635713704,0.38797003313621076,0.017141664882472263,21,LogisticRegression,,,,,,,,,,,,,,,,,,,
2.5520158767700196,0.8414412503476179,0.014794683456420899,0.001685884444072039,1.3687730909824847,balanced,,newton-cg,"{'model__C': 1.3687730909824847, 'model__class_weight': 'balanced', 'model__penalty': None, 'model__solver': 'newton-cg'}",0.394636427014884,0.4480650431715148,0.4482235801825695,0.4704482348829659,0.41186377050769096,0.43464741115192507,0.02744455256331556,2,LogisticRegression,,,,,,,,,,,,,,,,,,,
1.2978864192962647,0.13460687627909756,0.016150283813476562,0.0013469534667460102,2.093144610640226,balanced,,sag,"{'model__C': 2.093144610640226, 'model__class_weight': 'balanced', 'model__penalty': None, 'model__solver': 'sag'}",0.2884263344951099,0.29264961077790796,0.27126759393803024,0.2694630905603611,0.279641775818342,0.2802896811179502,0.009143367988221428,47,LogisticRegression,,,,,,,,,,,,,,,,,,,
1.0855517387390137,0.022859377031135667,0.02157249450683594,0.007283524932231314,1.8108004796412835,balanced,l2,sag,"{'model__C': 1.8108004796412835, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'sag'}",0.2884439418982718,0.2926153824461813,0.2712351511166266,0.2694496214250007,0.2796164254155606,0.2802721044603282,0.009147218356901313,50,LogisticRegression,,,,,,,,,,,,,,,,,,,
1.1278536796569825,0.06020877980184526,0.013515567779541016,0.0018938799758915536,8.475324110355283,balanced,l2,sag,"{'model__C': 8.475324110355283, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'sag'}",0.2884880853723495,0.29282038516024167,0.2712542767592917,0.26948301095606075,0.2796417995366491,0.28033751155691855,0.00919851444327092,37,LogisticRegression,,,,,,,,,,,,,,,,,,,
0.35105090141296386,0.04100807497088936,0.016030406951904295,0.0016397412286008003,1.1624250473125441,balanced,l2,lbfgs,"{'model__C': 1.1624250473125441, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.35580177400717694,0.40592251662048096,0.37786834410947734,0.40910913097680074,0.38670335030523295,0.38708102320383375,0.019512288074172608,28,LogisticRegression,,,,,,,,,,,,,,,,,,,
0.9766772270202637,0.008904143831267055,0.015354251861572266,0.0015096204498258896,6.325127003150264,balanced,,sag,"{'model__C': 6.325127003150264, 'model__class_weight': 'balanced', 'model__penalty': None, 'model__solver': 'sag'}",0.2885014378526586,0.292662638685414,0.2712771321577214,0.2693876812585189,0.2795493556919456,0.28027564912925174,0.009177687776174377,49,LogisticRegression,,,,,,,,,,,,,,,,,,,
1.0049081325531006,0.028678850315182563,0.017826604843139648,0.004120471664159175,8.448237509654913,balanced,l2,sag,"{'model__C': 8.448237509654913, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'sag'}",0.2884548090492836,0.29273532452379963,0.27130455127639824,0.26944489837779956,0.2795337296467466,0.2802946625748055,0.009170349648988028,46,LogisticRegression,,,,,,,,,,,,,,,,,,,
0.22609615325927734,0.03067714602023931,0.015565872192382812,0.002636223470117383,5.115748312397471,balanced,,lbfgs,"{'model__C': 5.115748312397471, 'model__class_weight': 'balanced', 'model__penalty': None, 'model__solver': 'lbfgs'}",0.3606730927506432,0.40500963273184376,0.38502374587394783,0.40756923075324863,0.3815744635713704,0.38797003313621076,0.017141664882472263,21,LogisticRegression,,,,,,,,,,,,,,,,,,,
1.1470611572265625,0.010450243765792469,0.04784841537475586,0.05253352174642762,1.0233087327973966,balanced,l2,sag,"{'model__C': 1.0233087327973966, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'sag'}",0.2884965526497846,0.2927412679918048,0.2712503752524183,0.2695436754301256,0.2796273160829366,0.28033183748141394,0.009165263623434797,39,LogisticRegression,,,,,,,,,,,,,,,,,,,
